date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:39	264/264	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2014:30:38%20GMT	https://karafuru-nfts.com/robots.txt		(from )
18:30:39	15402/15402	---M-Z	200	added ('OK')	text/html	etag:%223c2a-5da515c390480-gzip%22	https://karafuru-nfts.com/	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/index.html	(from )
18:30:40	36670/36670	---M--	200	added ('OK')	image/jpeg	etag:%228f3e-5da4d2e704580%22	https://karafuru-nfts.com/static/logo.jpg	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/logo.jpg	(from https://karafuru-nfts.com/)
18:30:40	5112/5112	---M--	200	added ('OK')	text/css	etag:%2213f8-5d7e3e5698880%22	https://karafuru-nfts.com/static/css/style.css	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/css/style.css	(from https://karafuru-nfts.com/)
18:30:41	1369/1369	---M--	200	added ('OK')	text/css	etag:%22559-5d7e338ea9900%22	https://karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://karafuru-nfts.com/)
18:30:44	1163746/1163746	---M--	200	added ('OK')	application/javascript	etag:%2211c1e2-5d7e34a522a00%22	https://karafuru-nfts.com/unpkg.com/dist/web3.min.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/unpkg.com/dist/web3.min.js	(from https://karafuru-nfts.com/)
18:30:45	724950/724950	---M--	200	added ('OK')	application/javascript	etag:%22b0fd6-5d7e32b90a100%22	https://karafuru-nfts.com/cdn.ethers.io/lib/ethers-5.1.umd.min.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/cdn.ethers.io/lib/ethers-5.1.umd.min.js	(from https://karafuru-nfts.com/)
18:30:45	89501/89501	---M--	200	added ('OK')	application/javascript	etag:%2215d9d-5d7e395a94600%22	https://karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://karafuru-nfts.com/)
18:30:45	42863/42863	---M--	200	added ('OK')	application/javascript	etag:%22a76f-5d7e337025100%22	https://karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://karafuru-nfts.com/)
18:30:47	1517/1517	---M--	200	added ('OK')	application/javascript	etag:%225ed-5da513cdee500%22	https://karafuru-nfts.com/static/sender.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/sender.js	(from https://karafuru-nfts.com/)
18:30:48	4434/4434	---M--	200	added ('OK')	application/javascript	etag:%221152-5da5145742900%22	https://karafuru-nfts.com/static/scripts.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/scripts.js	(from https://karafuru-nfts.com/)
18:30:48	3016171/3016171	---M--	200	added ('OK')	application/javascript	etag:%222e05eb-5d7e33fb61980%22	https://karafuru-nfts.com/static/js/onboard-dist/main.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/js/onboard-dist/main.js	(from https://karafuru-nfts.com/)
18:30:49	129968/129968	---M--	200	added ('OK')	application/javascript	etag:%221fbb0-5d7e3419e6180%22	https://karafuru-nfts.com/static/js/matomo.js	D:/misc/dogshit/Hello%20CIA,%20Dont%20Arrest%20me/karafuru-nfts.com/static/js/matomo.js	(from https://karafuru-nfts.com/)
